HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
140401080207,3.0,76775162900.0,2536335360.0,210.342912,6.948864
011000060303,10.0,76494674700.0,2763479530.0,209.574451,7.571177
111101010111,5.0,76271103700.0,2816138520.0,208.961928,7.715448
010600010606,4.0,76258778400.0,889315200.0,208.92816,2.43648
150200030911,2.0,75833928900.0,2505240860.0,207.764189,6.863674
031002070502,2.0,75579303700.0,2796707090.0,207.066586,7.662211
111403010307,6.0,75300739200.0,2786399200.0,206.303395,7.63397
070801010702,1.0,74920378300.0,2475060910.0,205.26131,6.780989
030601030402,8.0,74872701100.0,2770560240.0,205.130688,7.590576
130700071102,7.0,74560165300.0,2758995290.0,204.274426,7.558891
010900010901,8.0,74246415400.0,2741217740.0,203.414837,7.510186
051202020803,3.0,74237522300.0,2452502160.0,203.390472,6.719184
121003040203,6.0,73935093800.0,2735865380.0,202.561901,7.495522
040400020501,8.0,73844016100.0,2227058300.0,202.312373,6.10153
030501051603,7.0,73799208700.0,2730837140.0,202.189613,7.481746
121102030000,4.0,73527438400.0,2720780660.0,201.445037,7.454194
071200040601,20.0,73432318800.0,2717260900.0,201.184435,7.44455
040900010203,5.0,72794304400.0,2700816620.0,199.43645,7.399498
030501040407,4.0,72764831400.0,2595721150.0,199.355702,7.111565
110702090407,6.0,72671362200.0,2689102750.0,199.099622,7.367405
051202011203,9.0,72193814300.0,2546479440.0,197.791272,6.976656
121004010100,16.0,72188970000.0,2671252500.0,197.778,7.3185
180703041004,13.0,71896495500.0,2677546560.0,196.9767,7.335744
051002050103,9.0,71679400800.0,2652396600.0,196.38192,7.26684
120800040506,7.0,71638635300.0,2650888130.0,196.270234,7.262707
050902030808,1.0,71238492500.0,2353426560.0,195.173952,6.447744
180702030507,48.0,70597855300.0,2689677410.0,193.418782,7.368979
040301011109,2.0,70564864200.0,2331172660.0,193.328395,6.386774
030101040605,1.0,70426447500.0,2326599940.0,192.949171,6.374246
120302010107,6.0,70388492200.0,2604628320.0,192.845184,7.135968
020301050507,15.0,69950934500.0,2543207580.0,191.646396,6.967692
031700090507,4.0,69838157400.0,2584263950.0,191.337418,7.080175
111402060602,5.0,69753635700.0,2503683340.0,191.105851,6.859406
020802060101,15.0,68728282900.0,2469976610.0,188.296666,6.767059
080302010601,6.0,68180359000.0,2522919420.0,186.795504,6.912108
080702040503,2.0,68139593400.0,2521410950.0,186.683818,6.907975
180703030504,11.0,67978107200.0,2537827190.0,186.24139,6.952951
060101040204,4.0,67731938100.0,2506326230.0,185.566954,6.866647
101301010803,2.0,67731934600.0,2237584320.0,185.566944,6.130368
030801010802,5.0,67562081700.0,2500040930.0,185.101594,6.849427
110702070904,8.0,67310694200.0,2490738680.0,184.412861,6.823942
121002030303,4.0,67195191800.0,2486464680.0,184.096416,6.812232
010802040402,25.0,67188435300.0,1303851540.0,184.077905,3.572196
030801011601,10.0,67083111100.0,1326222830.0,183.789346,3.633487
071000090703,1.0,66984484100.0,2212891630.0,183.519134,6.062717
060101050704,4.0,66939788800.0,2325581150.0,183.396682,6.371455
111402010105,2.0,66714712800.0,2245710100.0,182.780035,6.15263
040500020405,12.0,66597297300.0,2464340420.0,182.458349,6.751618
120100020608,1.0,66532322600.0,2197954080.0,182.280336,6.021792
080202031207,1.0,66440044800.0,2194905600.0,182.02752,6.01344
111302070303,1.0,66440044800.0,2194905600.0,182.02752,6.01344
020700090101,7.0,66420842900.0,2320751760.0,181.974912,6.358224
030101030502,5.0,66413852400.0,2457552300.0,181.95576,6.73302
050901010503,5.0,66413852400.0,2457552300.0,181.95576,6.73302
111003020201,6.0,66176053400.0,2448752880.0,181.304256,6.708912
020402010407,14.0,65708519100.0,1196497740.0,180.02334,3.278076
041100010603,2.0,65363002800.0,2103451200.0,179.07672,5.76288
181002010302,13.0,64550501400.0,2413111940.0,176.850689,6.611266
121102010003,6.0,64477489400.0,2385899880.0,176.650656,6.536712
102901080302,9.0,64421294000.0,2395132920.0,176.496696,6.562008
020802040502,4.0,64280456000.0,2378608930.0,176.110838,6.516737
121002020108,4.0,63879594900.0,2363775620.0,175.012589,6.476098
120401010301,4.0,63845623600.0,2362518560.0,174.919517,6.472654
120100021004,4.0,63838829400.0,2362267150.0,174.900902,6.471965
020801060702,7.0,63798063800.0,2360758680.0,174.789216,6.467832
120701040505,9.0,63736915500.0,2358495970.0,174.621686,6.461633
050902010601,2.0,63545770600.0,2043995330.0,174.098002,5.599987
120903010107,14.0,63469052300.0,2366209150.0,173.887814,6.482765
020402020607,8.0,63105144300.0,2360177890.0,172.890806,6.466241
120301060409,2.0,63016724400.0,2331846300.0,172.64856,6.38862
080801020506,5.0,62697394400.0,2320029940.0,171.773683,6.356246
050400040809,4.0,62615863300.0,2317012990.0,171.55031,6.347981
030701010504,10.0,62439212600.0,2310476280.0,171.066336,6.330072
020302020305,13.0,62428372100.0,1036049580.0,171.036636,2.838492
120401040704,5.0,62391652800.0,2308716400.0,170.936035,6.32525
130401000101,10.0,62072672300.0,2336506620.0,170.062116,6.401388
030502010705,3.0,62039499100.0,2064032950.0,169.97123,5.654885
101900070904,7.0,61643534800.0,2286661340.0,168.886397,6.264826
060102050405,1.0,61641597100.0,2036384640.0,168.881088,5.579136
