HUC_12,Acres_Unpo
010802050203,0.0
010802050301,0.0
010802050302,0.0
010802050303,0.0
010802050401,0.0
010802050402,0.0
010802050501,0.0
010802050502,0.0
010802050503,0.0
010802050504,0.0
010802050505,0.0
010802050506,0.0
010802050601,0.0
010802050602,0.0
010802050603,0.0
010802050701,0.0
010802050702,0.0
010802050801,0.0
010802050802,0.0
010802050803,0.0
010802050804,0.0
010802050805,0.0
010802050901,0.0
010802050902,0.0
010802050903,0.0
010802050904,0.0
010802050905,0.0
010802060101,0.0
010802060102,0.0
010802060103,0.0
010802060104,0.0
010802060105,0.0
010802060201,0.0
010802060202,0.0
010802060301,0.0
010802060302,0.0
010802060303,0.0
010802060304,0.0
010802060305,0.0
010802070101,0.0
