HUC_12,Crop_P_removal_kg_ha
010500010101,0.161114973731
010500010102,0.061995903415
010500010207,0.0123356444893
010500010301,0.00613042873604
010500010302,0.0
010500010303,0.0289426366462
010500010304,0.0
010500010305,0.0
010500010306,0.00484364932291
010500010307,0.00116428735105
010500010401,0.00664262129235
010500010402,0.043538330407
010500010403,0.0
010500010404,0.0
010500010501,0.0
010500010502,0.0
010500010503,0.00511185524068
010500010504,0.172692987799
010500010505,0.0
010500010506,0.0
010500010601,0.0152711055437
010500010602,0.00318826942569
010500010603,0.0391370423528
010500010604,0.0285171148963
010500010605,0.0144472121948
010500010606,0.0860269356455
010500010701,0.0
010500010702,0.0
010500010705,0.0
010500010706,0.0
010500010707,0.0
010500010708,0.0
010500010801,0.138747746945
010500010802,0.0861866157596
010500010804,0.0658091134981
010500010806,0.0749881257803
010500010809,0.37179301363
010500010810,0.209274761613
010500020101,0.152235389596
010500020102,0.130099880872
010500020103,0.39869243983
010500020104,0.086157846931
010500020201,0.155041357335
010500020202,0.04662140264
010500020203,0.109976625921
010500020204,0.0388075838624
010500020205,0.450341379332
010500020301,0.00477669115436
010500020302,0.0128622181596
010500020401,0.00354816913724
010500020402,0.0627704039941
010500020403,0.0175524356327
010500020501,0.0226535394041
010500020502,0.15578508762
010500020503,0.28557128752
010500020601,0.866830565428
010500020602,1.18805585136
010500020603,0.436908634205
010500020604,0.122078749332
010500020701,0.0680092513137
010500020702,0.0
010500020703,0.00481738246848
010500020801,0.315032357409
010500020802,0.244357023107
010500020803,0.347265903541
010500020804,0.0
010500020805,0.0
010500020901,0.0227683817047
010500020902,1.74675312928
010500020903,1.77907750631
010500020904,0.439542424087
010500020905,0.318354897259
010500020906,1.63581827162
010500020907,0.0
010500020908,0.0
010500021001,0.00622500578875
010500021002,1.81860121549
010500021003,0.00471651116914
010500021004,0.175582766548
010500021005,0.836725104724
010500021006,0.0
010500021007,0.0
010500021008,0.0
010500021101,0.0
010500021102,0.0748614880981
010500021103,0.0858925533728
010500021105,0.0
010500021106,0.0467395136354
010500021107,0.0
010500021108,0.0
010500021109,0.0
010500021111,0.0
010500021201,0.0
010500021202,0.00156112177723
010500021203,0.000554317922169
010500021204,0.357502210445
010500021205,0.069537114485
010500021206,0.0
010500021207,0.00147611070064
010500021208,0.119597821362
010500021209,0.0463416673375
010500021210,0.116472684053
010500021211,0.0256718439991
010500021212,0.0405677511433
010500021213,0.0387907191361
010500021214,0.0626591644116
010500021215,0.0981440377192
010500021301,0.101035215491
010500021302,0.214533404688
010500021303,0.159340017401
010500021304,0.143222876103
010500021401,0.0502228660854
010500021402,0.0620408996317
010500021403,0.00376572240964
010500021404,0.0323866666698
